pool	sex	meanAge	min	max	n
Pool 1	Male	4.070273972602741	3.98630136986301	4.38082191780822	20
Pool 2	Female	4.092602739726027	3.98630136986301	4.35890410958904	20
Pool 3	Female	28.0700888	25.86995	29.80151	25
Pool 4	Female	28.2261472	26.05339	30.00685	25
Pool 5	Female	77.956000061036	75.5	80.5	25
Pool 6	Female	77.223999938964	74.4000015259	80.0999984741	25
Pool 7	Female	63.403999938976	62.7999992371	63.7999992371	25
Pool 8	Female	63.264000091544	62.7000007629	63.7000007629	25
