tRNA-iMet-CAT-1-4
tRNA-Ser-AGA-2-6
tRNA-Ile-AAT-4-1
tRNA-Glu-TTC-1-1
tRNA-Val-AAC-4-1
tRNA-Ile-AAT-10-1
tRNA-His-GTG-2-1
tRNA-Pro-AGG-2-2
tRNA-Leu-TAG-2-1
tRNA-Ser-ACT-1-1
tRNA-Ile-TAT-2-2
tRNA-His-GTG-1-2
tRNA-Val-AAC-1-2
tRNA-Ser-TGA-2-1
tRNA-Val-CAC-2-1
tRNA-Gln-CTG-7-1
